Genus	Count
Candidatus Pelagibacter	9221
Prochlorococcus	5247
Nitrosopumilus	1304
Cyanobium	902
Polynucleobacter	877
Burkholderia	845
Algoriphagus	731
Psychroflexus	595
Rhodopirellula	524
Shewanella	515
Nitrococcus	448
Acholeplasma	425
Haloquadratum	340
Francisella	304
Roseobacter	302
Lentisphaera	299
Octadecabacter	274
Mesoplasma	267
Prevotella	259
Rhodoferax	239
Neorickettsia	228
Idiomarina	225
Vibrio	219
Polaribacter	211
Oceanobacillus	199
Methanococcoides	198
Zymomonas	197
Bartonella	177
Legionella	176
Finegoldia	171
Neptuniibacter	169
Ehrlichia	168
Oceanicola	168
Brevibacterium	163
Natranaerobius	162
Corynebacterium	160
Metallosphaera	155
Nitrosococcus	152
Hoeflea	150
Limnobacter	150
Petrotoga	148
Borrelia	142
Other-Unknown	142
Saccharophagus	142
Janibacter	141
Bifidobacterium	141
Renibacterium	137
Anaerococcus	133
Pseudovibrio	132
Trichodesmium	130
Alicyclobacillus	130
Rhodococcus	129
Candidatus Liberibacter	126
Acinetobacter	126
Lawsonia	126
Methylocella	124
Bermanella	120
Oceanibulbus	117
Leuconostoc	116
Tropheryma	114
Xylella	113
Propionibacterium	113
Buchnera	112
Nostoc	110
Methanosphaera	109
Chthoniobacter	108
Gemella	104
Desulfotalea	104
Brucella	101
Pediococcus	99
Candidatus Protochlamydia	96
Alcanivorax	96
Fervidobacterium	92
Wolbachia	90
Clavibacter	88
Xanthobacter	88
Lutiella	86
Dinoroseobacter	85
Streptococcus	84
Thermodesulfovibrio	83
Verrucomicrobium	82
Croceibacter	81
Catenibacterium	81
Leptospira	80
Gramella	80
Methylophaga	80
Providencia	78
Marinomonas	78
Clostridium	76
Robiginitalea	75
Maricaulis	74
Nitrosospira	74
Collinsella	74
Sodalis	72
Lactococcus	70
Methanobrevibacter	68
Phaeobacter	68
Coprothermobacter	67
Arcobacter	65
Thermosipho	64
Chlamydia	64
Pseudomonas	62
Opitutus	62
Rhodobacter	61
Tolumonas	59
Glaciecola	57
Microscilla	56
Thiomicrospira	56
Lysinibacillus	55
Thermomicrobium	55
Pseudoalteromonas	54
Sorangium	53
Staphylococcus	53
Sulfolobus	52
Beijerinckia	51
Mobiluncus	51
Yersinia	50
Halorhodospira	50
Atopobium	49
Methanospirillum	48
Orientia	48
Beggiatoa	47
Mycoplasma	47
Methanosarcina	47
Photorhabdus	46
Desulfuromonas	46
Herpetosiphon	46
Sulfurihydrogenibium	45
Coxiella	44
Syntrophomonas	44
Flavobacterium	43
Ruegeria	43
Kordia	43
Syntrophus	42
Roseovarius	41
Comamonas	41
Plesiocystis	41
Methanococcus	41
Aromatoleum	41
Gloeobacter	41
Hahella	40
Gardnerella	40
Coprococcus	39
Solibacter	38
Loktanella	36
Pedobacter	36
Caldicellulosiruptor	36
Paracoccus	35
Granulibacter	34
Rickettsia	34
Mycobacterium	34
Oenococcus	34
Pelodictyon	34
Thermosinus	33
Erythrobacter	33
Candidatus Phytoplasma	32
Leeuwenhoekiella	32
Desulfotomaculum	32
Planctomyces	32
Anaplasma	32
Wolinella	32
Natrialba	32
Chromohalobacter	29
Alkalilimnicola	29
Syntrophobacter	29
Pelobacter	28
Aurantimonas	28
Lyngbya	28
